City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Tual,ID,-5.6667,132.75,83.61,69,90,4.14,heavy intensity rain
199,Geraldton,AU,-28.7667,114.6,64.81,59,5,6.91,clear sky
200,Poso,ID,-1.3959,120.7524,77.22,84,43,3.71,moderate rain
201,Castres,FR,43.5833,2.1667,53.42,81,0,27.63,clear sky
202,Pisco,PE,-13.7,-76.2167,73.45,73,0,19.57,light rain
203,Dalnegorsk,RU,44.5604,135.5701,29.71,94,59,4.54,broken clouds
204,Fort Nelson,CA,58.8053,-122.7002,9.99,44,100,6.91,overcast clouds
205,Phangnga,TH,8.4509,98.5298,77.04,91,94,2.62,overcast clouds
206,Araouane,ML,18.9048,-3.5265,75.16,10,5,11.79,clear sky
207,Huangchuan,CN,32.1272,115.0394,61.3,62,2,4.34,clear sky
208,Verkhovazhye,RU,60.7472,42.0465,17.04,96,100,5.61,overcast clouds
209,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,0.0,clear sky
210,Cozumel,MX,20.5083,-86.9458,84.27,76,40,13.0,scattered clouds
211,Saint-Joseph,RE,-21.3667,55.6167,75.58,84,22,7.74,few clouds
212,Hilo,US,19.7297,-155.09,82.13,72,40,11.5,scattered clouds
213,Ust-Ordynskiy,RU,52.805,104.7508,9.52,93,97,5.06,overcast clouds
214,Esperance,AU,-33.8667,121.9,62.08,78,99,12.08,overcast clouds
215,Arlit,NE,18.7369,7.3853,73.8,20,2,7.58,clear sky
216,Mashhad,IR,36.297,59.6062,64.54,55,40,6.91,scattered clouds
217,Ilulissat,GL,69.2167,-51.1,-16.76,94,74,5.97,broken clouds
218,Tezu,IN,27.9167,96.1667,68.54,26,41,4.7,scattered clouds
219,Lodja,CD,-3.4833,23.4333,70.95,98,99,2.86,light rain
220,Dunedin,NZ,-45.8742,170.5036,63.81,72,24,3.0,few clouds
221,Husavik,IS,66.0449,-17.3389,37.47,87,100,10.4,overcast clouds
222,Narsaq,GL,60.9167,-46.05,5.22,78,0,4.92,clear sky
223,Korla,CN,41.7597,86.1469,48.27,33,2,9.22,clear sky
224,Isiro,CD,2.7739,27.616,76.98,54,100,1.41,overcast clouds
225,Kiruna,SE,67.8557,20.2251,32.92,75,100,13.8,overcast clouds
226,East London,ZA,-33.0153,27.9116,71.04,86,11,5.39,few clouds
227,Cimitarra,CO,6.3142,-73.9497,82.98,73,18,3.29,few clouds
228,Rawson,AR,-43.3002,-65.1023,60.03,62,59,19.46,broken clouds
229,Iqaluit,CA,63.7506,-68.5145,-5.31,76,75,3.44,broken clouds
230,Klaksvik,FO,62.2266,-6.589,45.52,83,100,26.33,overcast clouds
231,Tombouctou,ML,20.0,-3.0,73.83,12,1,12.71,clear sky
232,Gaya,IN,24.7833,85.0,64.69,32,0,4.76,clear sky
233,Miri,MY,4.4148,114.0089,73.54,100,20,2.3,few clouds
234,Talnakh,RU,69.4865,88.3972,-23.8,98,59,7.56,broken clouds
235,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,82,0,4.61,clear sky
236,Coquimbo,CL,-29.9533,-71.3436,62.33,82,40,10.36,scattered clouds
237,Ulladulla,AU,-35.35,150.4667,59.77,71,19,4.16,few clouds
238,San Quintin,MX,30.4833,-115.95,61.23,66,29,14.43,scattered clouds
239,Camana,PE,-16.6228,-72.7111,74.23,78,7,6.4,clear sky
240,Luwuk,ID,-0.9516,122.7875,77.38,89,49,0.87,scattered clouds
241,Sangamner,IN,19.5667,74.2167,72.5,49,33,0.2,scattered clouds
242,Avera,US,33.194,-82.5271,55.38,82,93,8.88,overcast clouds
243,Nueva Londres,PY,-25.4045,-56.5498,79.18,71,93,2.44,overcast clouds
244,Uva,RU,56.9908,52.1852,2.5,97,9,5.95,clear sky
245,Binga,ZW,-17.6203,27.3414,72.0,79,21,1.66,few clouds
246,Chibombo,ZM,-14.6569,28.0706,63.72,96,31,4.41,scattered clouds
247,Camacari,BR,-12.6975,-38.3242,83.97,89,59,5.46,broken clouds
248,Benguela,AO,-12.5763,13.4055,79.36,79,88,5.79,overcast clouds
249,Tuatapere,NZ,-46.1333,167.6833,65.97,63,100,7.36,overcast clouds
250,Malatya,TR,38.5,38.0,33.85,93,75,2.3,broken clouds
251,Port Alfred,ZA,-33.5906,26.891,70.66,84,28,3.33,scattered clouds
252,Ketchikan,US,55.3422,-131.6461,37.38,93,100,11.5,light rain
253,Tariba,VE,7.8188,-72.2243,75.76,83,82,1.95,broken clouds
254,Labuhan,ID,-6.8844,112.2051,76.86,86,94,4.79,overcast clouds
255,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,34,20,4.61,few clouds
256,Dieppe,FR,49.75,1.1667,53.78,87,58,8.41,broken clouds
257,Kavaratti,IN,10.5669,72.642,82.11,73,1,7.47,clear sky
258,Port Hardy,CA,50.6996,-127.4199,37.58,93,100,13.8,light rain
259,San Miguel,SV,13.4833,-88.1833,89.26,58,20,9.22,few clouds
260,Alice Springs,AU,-23.7,133.8833,60.35,55,50,0.0,scattered clouds
261,Dawlatabad,AF,36.4141,64.9053,60.15,67,100,2.59,overcast clouds
262,Hutang,CN,31.5333,119.4833,60.46,67,97,2.26,overcast clouds
263,Lompoc,US,34.6391,-120.4579,75.69,60,0,21.0,clear sky
264,Antalaha,MG,-14.9003,50.2788,75.76,91,100,3.78,light rain
265,Bilibino,RU,68.0546,166.4372,0.64,84,7,3.2,clear sky
266,Mulege,MX,26.8833,-111.9833,73.8,28,70,7.09,broken clouds
267,Matagalpa,NI,12.9256,-85.9175,87.76,24,2,10.02,clear sky
268,Tecoanapa,MX,16.5167,-98.75,84.38,54,4,12.15,clear sky
269,Chivilcoy,AR,-34.8957,-60.0167,66.97,55,42,9.26,scattered clouds
270,Karimganj,IN,24.8667,92.35,66.43,50,56,3.96,broken clouds
271,Atakpame,TG,7.5333,1.1333,81.7,70,100,8.16,overcast clouds
272,Qandala,SO,11.472,49.8728,76.1,64,100,5.84,overcast clouds
273,Marang,MY,5.2056,103.2059,75.11,79,93,3.04,overcast clouds
274,Lexington,US,37.9887,-84.4777,55.29,45,0,4.61,clear sky
275,Zhigansk,RU,66.7697,123.3711,-12.17,95,100,5.41,overcast clouds
276,Palafrugell,ES,41.9174,3.1631,54.46,54,91,4.0,overcast clouds
277,Hamilton,US,39.1834,-84.5333,54.0,46,40,8.05,scattered clouds
278,Qui Nhon,VN,13.7667,109.2333,68.14,90,96,8.55,overcast clouds
279,Morondava,MG,-20.2833,44.2833,81.07,79,100,6.22,light rain
280,Pacific Grove,US,36.6177,-121.9166,69.39,50,0,11.01,clear sky
281,Abnub,EG,27.2696,31.1511,54.45,33,0,9.42,clear sky
282,Haines Junction,CA,60.7522,-137.5108,31.95,51,100,2.3,overcast clouds
283,Lebu,CL,-37.6167,-73.65,59.76,81,15,22.59,few clouds
284,Zonguldak,TR,41.25,31.8333,25.95,96,100,4.16,light snow
285,Sundargarh,IN,22.1167,84.0333,67.59,33,0,4.97,clear sky
286,Bac Lieu,VN,9.285,105.7244,76.71,79,99,12.41,overcast clouds
287,Brae,GB,60.3964,-1.353,46.49,88,75,27.49,broken clouds
288,Gharo,PK,24.7424,67.5856,71.82,45,1,8.19,clear sky
289,Hyeres,FR,43.1167,6.1167,52.41,87,0,2.3,clear sky
290,Charters Towers,AU,-20.1,146.2667,80.15,79,96,10.13,overcast clouds
291,Saint-Ambroise,CA,48.5501,-71.3324,26.58,82,100,8.81,overcast clouds
292,Soften,DK,56.238,10.0851,37.45,82,10,14.88,clear sky
293,Opuwo,NA,-18.0607,13.84,75.85,52,83,2.98,light rain
294,Muroto,JP,33.2833,134.15,55.8,63,100,5.39,overcast clouds
295,Venice,US,27.0998,-82.4543,78.98,92,40,9.22,mist
296,Sahbuz,AZ,39.4072,45.5739,37.0,75,92,4.92,overcast clouds
297,Ballina,AU,-28.8667,153.5667,67.01,99,99,10.02,overcast clouds
298,Jerome,US,42.7241,-114.5186,33.84,43,0,20.71,clear sky
299,Tuy Hoa,VN,13.0833,109.3,69.13,91,98,5.79,overcast clouds
300,Ilheus,BR,-14.7889,-39.0494,82.22,78,40,10.36,scattered clouds
301,Touros,BR,-5.1989,-35.4608,81.55,74,100,15.95,overcast clouds
302,Dinar,TR,38.065,30.1656,28.36,84,100,13.89,overcast clouds
303,Aasiaat,GL,68.7098,-52.8699,-11.6,100,70,2.06,broken clouds
304,Tiksi,RU,71.6872,128.8694,-19.34,100,100,2.77,overcast clouds
305,Mae Sai,TH,20.4335,99.8762,72.68,60,22,1.72,few clouds
306,Hithadhoo,MV,-0.6,73.0833,81.59,61,19,2.51,few clouds
307,Seybaplaya,MX,19.65,-90.6667,87.26,69,26,7.85,scattered clouds
308,Westport,US,41.1415,-73.3579,47.64,61,0,1.01,clear sky
309,Kamenka,RU,51.3223,42.7678,15.48,94,100,15.86,snow
310,Riberalta,BO,-10.9833,-66.1,75.4,94,100,0.0,thunderstorm
311,Harper,LR,4.375,-7.7169,81.16,86,98,8.57,overcast clouds
312,Sechura,PE,-5.5569,-80.8222,82.9,56,90,16.26,overcast clouds
313,Ust-Maya,RU,60.4167,134.5333,-17.05,100,100,1.48,overcast clouds
314,Lae,PG,-6.7221,146.9847,78.85,82,89,7.85,overcast clouds
315,Mazagao,BR,-0.115,-51.2894,78.85,97,100,0.51,overcast clouds
316,Viedma,AR,-40.8135,-62.9967,63.32,52,27,12.17,scattered clouds
317,Lavrentiya,RU,65.5833,-171.0,9.18,69,0,16.06,clear sky
318,Lubango,AO,-14.9172,13.4925,64.24,69,100,3.69,overcast clouds
319,Garissa,KE,-0.4536,39.6401,79.75,61,25,13.67,scattered clouds
320,Brigham City,US,41.5102,-112.0155,30.22,40,0,6.91,clear sky
321,Lincoln,US,40.8,-96.667,29.14,61,20,3.44,few clouds
322,Datong,CN,40.0936,113.2914,43.92,39,100,6.17,overcast clouds
323,Panaba,MX,21.2833,-88.2667,94.96,31,41,13.47,scattered clouds
324,Kimbe,PG,-5.5502,150.1429,79.86,84,75,1.9,broken clouds
325,Waipawa,NZ,-41.4122,175.5153,66.22,68,1,6.53,clear sky
326,Tongliao,CN,43.6125,122.2653,30.63,43,0,8.05,clear sky
327,Cache Creek,CA,50.8101,-121.3246,40.91,53,98,3.76,overcast clouds
328,Goba,ET,7.0167,39.9833,51.75,56,18,3.87,few clouds
329,Inta,RU,66.0317,60.1659,5.59,85,83,17.76,broken clouds
330,Lata,PT,40.1629,-8.3327,56.91,92,100,9.71,overcast clouds
