City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Tungor,RU,2022-03-08 20:37:14,53.3808,142.9564,254.6,100,97,3.77
146,Kodiak,US,2022-03-08 20:34:58,57.79,-152.4072,277.88,93,100,4.63
147,Codrington,AU,2022-03-08 20:37:15,-38.2667,141.9667,288.57,82,89,6.45
148,Tuatapere,NZ,2022-03-08 20:37:16,-46.1333,167.6833,285.83,91,100,1.73
149,Cabedelo,BR,2022-03-08 20:35:09,-6.9811,-34.8339,302.52,70,30,4.94
150,Kieta,PG,2022-03-08 20:37:16,-6.2167,155.6333,299.96,80,89,0.19
151,Faanui,PF,2022-03-08 20:37:17,-16.4833,-151.75,300.63,73,77,5.68
152,Cocorit,MX,2022-03-08 20:37:17,27.5833,-109.9667,295.34,9,0,6.18
153,Airai,TL,2022-03-08 20:35:48,-8.9266,125.4092,288.49,94,100,1.08
154,Kaitangata,NZ,2022-03-08 20:34:42,-46.2817,169.8464,285.79,91,100,1.73
155,Luena,AO,2022-03-08 20:37:18,-11.7833,19.9167,291.09,94,100,1.29
156,Isangel,VU,2022-03-08 20:37:18,-19.55,169.2667,300.94,78,54,2.54
157,Santa Cruz,BO,2022-03-08 20:37:19,-17.8,-63.1667,298.18,83,75,4.12
158,Lompoc,US,2022-03-08 20:35:25,34.6391,-120.4579,295.94,38,0,7.2
159,Cherskiy,RU,2022-03-08 20:37:19,68.75,161.3,253.57,93,100,0.54
160,Angren,UZ,2022-03-08 20:37:20,41.0167,70.1436,280.25,91,100,2.17
161,Harnosand,SE,2022-03-08 20:37:20,62.6323,17.9379,273.15,96,17,2.71
162,Hirara,JP,2022-03-08 20:37:20,24.8,125.2833,292.06,54,54,4.57
163,Longyearbyen,SJ,2022-03-08 20:34:36,78.2186,15.6401,269.06,80,75,4.12
164,Alekseyevsk,RU,2022-03-08 20:37:21,57.8406,108.3492,265.76,99,100,0.77
165,Contai,IN,2022-03-08 20:37:21,21.7786,87.7536,294.88,64,0,3.23
166,Tuktoyaktuk,CA,2022-03-08 20:35:57,69.4541,-133.0374,253.15,84,75,1.54
