City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Black River,JM,81.77,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
420,Half Moon Bay,US,71.55,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
425,Cockburn Town,TC,77.95,clear sky,21.4612,-71.1419,Osprey Beach Hotel
426,San Juan De Los Morros,VE,81.36,overcast clouds,9.9115,-67.3538,Hotel La Montaña
427,Port Blair,IN,80.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
430,Aracaju,BR,82.35,scattered clouds,-10.9111,-37.0717,HOTEL FÊNIX
431,Boulsa,BF,86.52,scattered clouds,12.6675,-0.5758,Auberge Relwende
434,Palu,ID,75.7,broken clouds,-0.8917,119.8707,Hotel Santika Palu
435,Am Timan,TD,90.3,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
438,Samarai,PG,83.43,broken clouds,-10.6167,150.6667,Nuli Sapi
442,Roebourne,AU,85.6,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
443,Ikwiriri,TZ,74.75,overcast clouds,-7.9562,38.9716,Greenland lodge
450,Pitiquito,MX,73.65,clear sky,30.7,-112.0833,La Víspera
456,Oeiras,BR,79.92,very heavy rain,-7.0253,-42.1311,Hotel SESC Oeiras
459,Taunsa,PK,70.56,clear sky,30.7048,70.6505,Nan shop
460,Pangai,TO,78.91,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
463,Karratha,AU,85.28,clear sky,-20.7377,116.8463,ibis Styles Karratha
466,Gorom-Gorom,BF,85.17,scattered clouds,14.4439,-0.2361,
468,Bousso,TD,91.47,overcast clouds,10.4795,16.7117,
470,Huarmey,PE,75.52,scattered clouds,-10.0681,-78.1522,Hotel Miramar
473,Envira,BR,78.42,broken clouds,-7.3,-70.2167,
474,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
481,Anahuac,MX,77.61,broken clouds,27.2333,-100.15,HOTEL SAN FELIPE
482,Beloha,MG,75.56,scattered clouds,-25.1667,45.05,
483,Maragogi,BR,80.08,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
484,Gamba,GA,79.9,overcast clouds,-2.65,10.0,
486,Vieques,PR,78.8,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
487,Jibuti,DJ,71.08,broken clouds,11.5,42.5,Orchid Main Camp Goubet
489,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
490,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
502,Esmeraldas,BR,79.66,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
509,Kpandu,GH,81.52,overcast clouds,6.9954,0.2931,Emo House
516,Buritis,BR,78.26,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
519,Odweyne,SO,70.09,overcast clouds,9.4092,45.064,Eng Hiirey House
520,Vao,NC,78.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
521,La Reforma,MX,72.34,broken clouds,25.0833,-108.05,Hotel Reforma
522,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
525,Kupang,ID,77.68,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
527,Oum Hadjer,TD,85.01,scattered clouds,13.2954,19.6966,
532,Atambua,ID,73.4,broken clouds,-9.1061,124.8925,Kost Alfa Flat
533,Puerto Maldonado,PE,90.0,few clouds,-12.6,-69.1833,Wasai Hotel
534,Kahului,US,91.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
535,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
536,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
539,Sri Aman,MY,73.45,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
541,Sijunjung,ID,71.47,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
542,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
546,San Carlos,VE,86.83,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
548,Okato,NZ,71.91,scattered clouds,-39.2,173.8833,Goodin Country Garden
551,Nakapiripirit,UG,72.95,overcast clouds,1.9167,34.7833,
552,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
553,Teahupoo,PF,80.56,overcast clouds,-17.8333,-149.2667,Vanira Lodge
554,Hobyo,SO,77.38,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
556,Mamburao,PH,76.82,overcast clouds,13.25,120.6667,UPPER(tii)
558,Takoradi,GH,81.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
559,Ciudad Bolivar,VE,85.95,overcast clouds,8.1222,-63.5497,Hotel Edi
560,Yenagoa,NG,80.24,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
561,Kaeo,NZ,76.32,broken clouds,-35.1,173.7833,Bushido Lodge
563,Ciamis,ID,72.82,overcast clouds,-7.3257,108.3534,The Priangan Boutique Hotel @ Yos Sudarso
564,Kieta,PG,81.72,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
567,Acajutla,SV,84.63,clear sky,13.5928,-89.8275,Laureles
570,Rio Grande,BR,70.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
571,Meulaboh,ID,75.07,heavy intensity rain,4.1363,96.1285,Kost Pria
573,Pedernales,DO,83.97,few clouds,18.0384,-71.744,Hotel Costa Marina
574,Bosaso,SO,76.39,overcast clouds,11.2842,49.1816,Red Sea Hotel
578,Manoel Urbano,BR,81.12,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
579,Mandvi,IN,76.48,clear sky,22.8333,69.3667,Jitendra Guest House
581,Buala,SB,83.19,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
582,Pathein,MM,74.79,scattered clouds,16.7833,94.7333,Pathein Hotel
583,Cabudare,VE,82.65,broken clouds,10.0289,-69.0894,Urbanización Ribera Santa Lucia
585,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
587,Maraa,BR,81.88,light rain,-1.8333,-65.3667,
588,Minna,NG,91.11,clear sky,9.6139,6.5569,Royal Park hotel & suites
590,Maridi,SS,79.75,overcast clouds,4.9158,29.4742,
591,Pilar,BR,78.73,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
593,Majene,ID,77.74,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
595,Najran,SA,70.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
597,Indramayu,ID,78.39,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
600,Kerrville,US,74.25,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
603,Benjamin Constant,BR,84.33,few clouds,-4.3831,-70.0311,CASA AVALIADA
604,Mogadishu,SO,77.86,overcast clouds,2.0371,45.3438,Hotel Juba
612,Jinji,CN,70.07,overcast clouds,23.2281,110.8261,
614,Puerto Padre,CU,82.2,clear sky,21.195,-76.6028,Casa Villa Velázquez
616,Koumac,NC,82.83,broken clouds,-20.5667,164.2833,Le Monitel
623,Jamiltepec,MX,87.44,clear sky,16.2833,-97.8167,Hotel Cádiz
624,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
626,Nizwa,OM,73.63,clear sky,22.9333,57.5333,Orient Apartments
629,Cartagena Del Chaira,CO,83.7,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
633,Sao Domingos Do Maranhao,BR,74.98,overcast clouds,-5.5758,-44.3853,Pousada Babaçu
634,Boyolangu,ID,75.02,overcast clouds,-8.1181,111.8935,Yos ega cv
635,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
638,Sumbe,AO,79.11,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
640,Juba,SS,87.13,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
643,Las Tunas,CU,86.16,clear sky,20.9617,-76.9511,Hotel Cadillac
645,Gizo,SB,82.92,broken clouds,-8.103,156.8419,Imagination Island
648,Amapa,BR,72.28,overcast clouds,1.0,-52.0,
649,Tevaitoa,PF,81.3,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
650,Bima,ID,75.78,scattered clouds,-8.4667,118.7167,Lambitu Hotel
656,Banda Aceh,ID,79.05,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
657,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
662,Alta Floresta,BR,73.67,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
664,Amahai,ID,78.84,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
666,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
669,Quatre Cocos,MU,78.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
670,Mayumba,GA,80.69,overcast clouds,-3.432,10.6554,LIKWALE LODGE
672,Morant Bay,JM,86.7,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
